attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,game_duration,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,weekday,year,month,day,period,field_type,start_time_weather
37233,Philadelphia Phillies,0,9,5,https://www.baseball-reference.com/boxes/NYN/NYN201604100.shtml,02:57:00,New York Mets,0,4,2,1:11 p.m.,Citi Field,Sunday, 2016,April,10,Day Game, on grass,"5&deg; F, Wind 7mph from Left to Right, Sunny."
28441,Houston Astros,1,3,2,https://www.baseball-reference.com/boxes/MIL/MIL201604100.shtml,03:08:00,Milwaukee Brewers,1,6,3,1:10 p.m.,Miller Park,Sunday, 2016,April,10,Day Game, on grass,"5&deg; F, Wind 0mph, In Dome."
35317,Minnesota Twins,1,11,3,https://www.baseball-reference.com/boxes/KCA/KCA201604100.shtml,03:23:00,Kansas City Royals,2,7,4,1:16 p.m.,Kauffman Stadium,Sunday, 2016,April,10,Day Game, on grass,"8&deg; F, Wind 10mph from Left to Right, Overcast."
27587,San Diego Padres,0,8,3,https://www.baseball-reference.com/boxes/COL/COL201604100.shtml,02:38:00,Colorado Rockies,1,9,6,2:11 p.m.,Coors Field,Sunday, 2016,April,10,Day Game, on grass,"2&deg; F, Wind 2mph out to Rightfield."
27207,Pittsburgh Pirates,0,9,1,https://www.baseball-reference.com/boxes/CIN/CIN201604100.shtml,03:04:00,Cincinnati Reds,0,10,2,1:11 p.m.,Great American Ball Park,Sunday, 2016,April,10,Day Game, on grass,"3&deg; F, Wind 9mph from Right to Left, Sunny."
23101,Tampa Bay Rays,0,8,3,https://www.baseball-reference.com/boxes/BAL/BAL201604100.shtml,02:53:00,Baltimore Orioles,1,11,5,1:36 p.m.,Oriole Park at Camden Yards,Sunday, 2016,April,10,Day Game, on grass,"4&deg; F, Wind 5mph in from Leftfield, Sunny."
23214,St. Louis Cardinals,1,10,12,https://www.baseball-reference.com/boxes/ATL/ATL201604100.shtml,03:55:00,Atlanta Braves,0,11,7,1:35 p.m.,Turner Field,Sunday, 2016,April,10,Day Game, on grass,"5&deg; F, Wind 10mph from Right to Left, Overcast."
33258,Chicago Cubs,0,12,7,https://www.baseball-reference.com/boxes/ARI/ARI201604100.shtml,03:21:00,Arizona Diamondbacks,0,8,3,1:10 p.m.,Chase Field,Sunday, 2016,April,10,Day Game, on grass,"3&deg; F, Wind 0mph, In Dome."
35097,Texas Rangers,1,7,1,https://www.baseball-reference.com/boxes/ANA/ANA201604100.shtml,02:43:00,Los Angeles Angels of Anaheim,0,7,3,12:38 p.m.,Angel Stadium of Anaheim,Sunday, 2016,April,10,Day Game, on grass,"7&deg; F, Wind 10mph from Right to Left."
47138,Boston Red Sox,1,11,8,https://www.baseball-reference.com/boxes/TOR/TOR201604090.shtml,02:48:00,Toronto Blue Jays,1,7,4,1:09 p.m.,Rogers Centre,Saturday, 2016,April,9,Day Game, on turf,"8&deg; F, Wind 0mph, In Dome."
41224,Los Angeles Dodgers,0,10,3,https://www.baseball-reference.com/boxes/SFN/SFN201604090.shtml,03:22:00,San Francisco Giants,1,5,2,1:46 p.m.,AT&T Park,Saturday, 2016,April,9,Day Game, on grass,"0&deg; F, Wind 4mph out to Centerfield, Overcast."
36424,Oakland Athletics,0,11,6,https://www.baseball-reference.com/boxes/SEA/SEA201604090.shtml,02:54:00,Seattle Mariners,0,5,1,6:10 p.m.,Safeco Field,Saturday, 2016,April,9,Night Game, on grass,"7&deg; F, Wind 1mph in unknown direction, Sunny."
37083,Philadelphia Phillies,0,8,1,https://www.baseball-reference.com/boxes/NYN/NYN201604090.shtml,02:44:00,New York Mets,0,3,0,7:10 p.m.,Citi Field,Saturday, 2016,April,9,Night Game, on grass,"1&deg; F, Wind 8mph in from Leftfield."
28127,Houston Astros,0,9,6,https://www.baseball-reference.com/boxes/MIL/MIL201604090.shtml,03:10:00,Milwaukee Brewers,2,8,4,6:11 p.m.,Miller Park,Saturday, 2016,April,9,Night Game, on grass,"3&deg; F, Wind 0mph, In Dome."
31001,Minnesota Twins,2,7,0,https://www.baseball-reference.com/boxes/KCA/KCA201604090.shtml,03:04:00,Kansas City Royals,0,10,7,6:15 p.m.,Kauffman Stadium,Saturday, 2016,April,9,Night Game, on grass,"0&deg; F, Wind 14mph from Right to Left, Sunny."
32419,New York Yankees,1,13,8,https://www.baseball-reference.com/boxes/DET/DET201604090.shtml,03:20:00,Detroit Tigers,1,7,4,1:10 p.m.,Comerica Park,Saturday, 2016,April,9,Day Game, on grass,"1&deg; F, Wind 18mph from Left to Right, Cloudy."
35177,San Diego Padres,1,19,16,https://www.baseball-reference.com/boxes/COL/COL201604090.shtml,03:24:00,Colorado Rockies,2,8,3,6:12 p.m.,Coors Field,Saturday, 2016,April,9,Night Game, on grass,"2&deg; F, Wind 8mph out to Centerfield."
22799,Pittsburgh Pirates,1,10,1,https://www.baseball-reference.com/boxes/CIN/CIN201604090.shtml,03:00:00,Cincinnati Reds,1,8,5,1:11 p.m.,Great American Ball Park,Saturday, 2016,April,9,Day Game, on grass,"8&deg; F, Wind 19mph from Left to Right, Cloudy."
